2024-12-12 00:39:35.440 - LOG: Router started, listening on port 5000
2024-12-12 00:39:35.441 - LOG: Packets from A(127.0.0.1:7777) forward to B(127.0.0.1:8888)
2024-12-12 00:39:35.441 - LOG: Packets from B(127.0.0.1:8888) forward to A(127.0.0.1:7777)
2024-12-12 00:39:35.441 - LOG: Initial delay=10ms, loss_rate=3%
2024-12-12 00:39:45.011 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:45.027 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:45.041 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:45.064 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.164 - LOG: Packet sent, size=39, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.194 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.222 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.222 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.265 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.289 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.289 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.289 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.325 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.356 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.356 - WARN: Packet dropped, size=32767, loss_rate=3%
2024-12-12 00:39:46.356 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.356 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.384 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.384 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.416 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.416 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.454 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.454 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.465 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.465 - WARN: Packet dropped, size=32767, loss_rate=3%
2024-12-12 00:39:46.465 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.465 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.507 - WARN: Packet dropped, size=20, loss_rate=3%
2024-12-12 00:39:46.507 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.541 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.541 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.604 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.604 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.634 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.634 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.635 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.653 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.677 - WARN: Packet dropped, size=20, loss_rate=3%
2024-12-12 00:39:46.677 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.694 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.720 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.744 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.744 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.744 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.744 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.744 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.788 - WARN: Packet dropped, size=20, loss_rate=3%
2024-12-12 00:39:46.804 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.834 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.859 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.859 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.859 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.859 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.859 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.859 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.914 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.934 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.954 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.954 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.954 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.954 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.954 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.954 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.998 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:46.998 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.034 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.034 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.034 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.034 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.034 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.034 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.034 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.054 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.094 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.094 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.094 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.131 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.131 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.132 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.132 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.132 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.132 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.132 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.154 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.154 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.169 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.183 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.183 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.183 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.183 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.184 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.184 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.184 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.184 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.184 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.204 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.234 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.234 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.234 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.274 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.274 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.274 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.274 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.274 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.274 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.274 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.274 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.274 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
